/*
// 注釋/例句
繁簡轉換前誤	正
// 《平平无奇大师兄》	陆长生戴上了一块面具， (nh:陆长生+v:戴+v:上+u:了+m:一+q:块+n:面具)
一块面具	一塊面具
// 《植祖》	银白面具。 (b:银白+n:面具)	一直到这黑袍银白面具人高大的身躯完全向后仰倒在被密如帘的雨水润湿成泥泞的黄土地面上，无法置信的双眼像金鱼眼一样暴突出眼眶，却是好半天都没有再从地面上爬起， (b:银白+n:面具人)
// 《第一序列》	那个出面搅局的白面具在战斗开始之前就抢了一批b级c级手机， (~白面具<SBV>v:抢 r:那个+v:出面+v:搅局+u:的+n:白面具+p:在+v:战斗+v:开始+nd:之前+d:就+v:抢+u:了+m:一+q:批+m:b+n:级+ws:c+q:级+n:手机+wp:，)
白面具	白面具
// 解析錯誤 @ 好讀《潛規則》	这伙黑面人下山， (n:黑面人)
黑面人	黑面人
// 《我不可能是剑神》	那探头出来的黑面鬼还没看清什么东西，就惨遭烈焰焚身， (~黑面鬼<SBV>v:看 r:那+v:探头+v:出来+u:的+n:黑面鬼+d:还+d:没+v:看+a:清+r:什么+n:东西+wp:，+d:就+v:惨遭+n:烈焰+v:焚身+wp:，)
黑面鬼	黑面鬼
// 《超神机械师》	黑面具、 (a:黑+n:面具+wp:、)
黑面具	黑面具
// 《超神机械师》	这时他才脱下黑面罩， (~面罩<VOB>v:脱 r:这时+r:他+d:才+v:脱+v:下+a:黑+n:面罩+wp:，)
黑面罩	黑面罩
// 《我不可能是剑神》	另一位身材高大的黑面青年闪身出现。 (~面<ATT>n:青年 r:另+m:一+q:位+n:身材+a:高大+u:的+a:黑+n:面+n:青年+v:闪身+v:出现+wp:。)
黑面青年	黑面青年
// 解析錯誤 @ 《一品修仙》	无面人 (c:乃+v:是+v:无+n:面人+u:的+n:事情+wp:，)	全部看向了无面人。 (v:看向+u:了+n:无面人)	可是若无面人真的有这么厉害， (c:可是+c:若+v:无面人+d:真+u:的+v:有+r:这么+a:厉害)	若无面人变成丁三眸或者丁冬， (c:若+v:无面人+v:变成+nh:丁三眸+c:或者+nh:丁冬)
无面人	無面人
// [general.TW.txt]	冷面人与当时的朱元璋联手，要铲除天下武林。 (n:冷面人+p:与)
冷面人	冷面人
// 解析錯誤 @ 《我在幕后调教大佬》	还是决定了冷面少年神。 (a:冷面少年+n:神) (n:冷面+n:少年+n:神)	那位冷面无情的死生之主终究也是网开一面。 (n:冷面+a:无情+u:的+n:死生+u:之+n:主) (i:冷面无情+u:的+v:死生+u:之+n:主)
冷面少年	冷面少年
冷面无情	冷面無情
// 《烂柯棋缘》	可俏面郎君另一个称呼是冷面郎君， (nh:冷面郎君) (n:冷面郎君)
冷面郎君	冷面郎君
// 《我师兄实在太稳健了》	心底也是有些惊讶这个冷面老道反应之神速； (r:这个+i:冷面老道)	那群冷面老道将他这条小龙摁在海底， (r:那+q:群+n:冷面老道+p:将+r:他)
冷面老道	冷面老道
// [general.TW.txt]	冷面校花 (n:冷面+n:校花)
冷面校花	冷面校花
// 解析錯誤 @ 《我在幕后调教大佬》	冷面冷口的俊美少年神。 (i:冷面冷口+u:的)	(a:虚空+nd:中+v:站+u:着+m:一+q:名+n:冷面冷口+u:的+a:俊美+n:少年+wp:，)	(d:不+v:知道+v:该+r:怎么+c:和+r:这+a:冷面冷口+u:的+n:府君+v:交流+wp:，)
冷面冷口	冷面冷口
// 《从红月开始》	冷口冷面， (~冷面<COO>n:冷口 n:冷口+n:冷面+wp:，)
冷口冷面	冷口冷面
// 解析錯誤: 《我师兄实在太稳健了》	冷面峰霸，在线吓人。 (~冷面峰霸<SBV>v:吓人 n:冷面峰霸) (n:冷面+n:峰霸+wp:，+v:在线+v:吓人+wp:。)	拄着铜皮拐杖的冷面毒王， (u:的+n:冷面+n:毒+n:王) (~冷面<ADV>n:毒王 ~冷面<parent.relate:FEAT>n:毒王 a:冷面+n:毒王) (~冷面<ATT>n:毒王 ~冷面<parent.relate:FEAT>n:毒王 n:冷面+n:毒王)
冷面毒王	冷面毒王
冷面峰霸	冷面峰霸
// 《平平无奇大师兄》	明明已成了奴婢却依旧一脸冷面的模样， (~冷面<ATT>n:模样 z:依旧+m:一+q:脸+n:冷面+u:的+n:模样)
依旧一脸冷面	依舊一臉冷面
// 解析錯誤: 《我师兄实在太稳健了》	道微子一身绸面灰布长袍， (n:绸面灰布)
绸面灰布	綢面灰布
// 《烂柯棋缘》	虎妖王此刻已经完全化为一个虎面人身， (v:化为+m:一个+n:虎面人身) (v:化为+m:一个+i:虎面人身)
// 解析錯誤 @ 《神国之上》	一幅是群仙入海猎龙面人身的怪物， (v:入+n:海+v:猎龙面人+n:身+u:的+n:怪+n:物) (~龍面人身<VOB>v:猎 n:群仙+v:入+n:海+v:猎+n:龙面人身+u:的+n:怪物)
// 《第一序列》	那鹰面人身的怪鸟带着炽热的火浪从天空中扑了下去。 (~鷹面人身<ATT>n:怪鸟 r:那+i:鹰面人身+u:的+n:怪鸟+v:带+u:着+a:炽热+u:的+n:火浪+p:从+n:天空+nd:中+v:扑+u:了+v:下去+wp:。)
面人身	面人身
// 解析錯誤 @ 《咫尺之间人尽敌国》	天荒界海洋面积太大了， (~洋面積<parent.relate:FEAT>n:海 n:海+n:洋面积)
洋面积	洋面積
// 《咫尺之间人尽敌国》	三千平米面积， (m:三千+q:平米+n:面积+wp:，)
米面积	米面積
// 《亏成首富从游戏开始》	旁边有一块面积巨大的桌板， (~面積<SBV>a:巨大 nd:旁边+v:有+m:一+q:块+n:面积+a:巨大+u:的+n:桌板+wp:，)
一块面积	一塊面積
// 《开局奖励一亿条命》	有些事情牵扯面太广了。 (~牽扯面<SBV>a:广 r:有些+n:事情+n:牵扯面+d:太+a:广+u:了+wp:。)
牵扯面	牽扯面
// 《一品修仙》	一揉面颊， (~面頰<VOB>v:揉 m:一+v:揉+n:面颊+wp:，)
揉面颊	揉面頰
// [general.TW.txt]	这里面包括了新团队成员在当前账单期剩余的帐户费用。 (r:这+nd:里面+v:包括+u:了)
这里面	這裡面
// 《神国之上》	这身道裙呈着幽暗的色调于水面铺开。 (~水面<POB>p:于 r:这+q:身+n:道裙+v:呈+u:着+a:幽暗+u:的+n:色调+p:于+n:水面+v:铺开+wp:。)
于水面	於水面
// 《烂柯棋缘》	海中有吼声透过水面传出， (~水面<VOB>v:透过 nl:海+nd:中+v:有+n:吼声+v:透过+n:水面+v:传出+wp:，)
透过水面	透過水面
// 《我师兄实在太稳健了》	一想到那几个副教主吃瘪后的猪肝面色， (~面色<VOB>v:想到 d:一+v:想到+r:那+m:几+q:个+n:副教主+v:吃瘪+nd:后+u:的+n:猪肝+n:面色+wp:，)
猪肝面色	豬肝面色

// 臉皮 門面
// 《我师兄实在太稳健了》	就是让人族炼气士不在龙族面前丢面皮， (d:就是+v:让+n:人族+n:炼气士+d:不+p:在+nz:龙族+nd:面前+v:丢面皮)
// 《我师兄实在太稳健了》	能够刷赵大爷好感度的关键词——讲义气、增面皮。 (~面皮<VOB>v:增 v:能够+v:刷+nh:赵+n:大爷+n:好感度+u:的+n:关键词+wp:——+v:讲+n:义气+wp:、+v:增+n:面皮+wp:。)
// 《我师兄实在太稳健了》	必然会让长寿恶了几位门内好面皮的长老； (~面皮<VOB>a:好 nl:门+nd:内+a:好+n:面皮+u:的+n:长老)	但公明前辈……好面皮， (~面皮<VOB>v:好 v:好+n:面皮)
// 《我师兄实在太稳健了》	弟子也厚着面皮一同前往东海之滨。 (~面皮<VOB>a:厚 n:弟子+d:也+a:厚+u:着+n:面皮+d:一同+v:前往+ns:东海+u:之+n:滨)
// 《我师兄实在太稳健了》	所以东洲众仙门才会如此在乎面皮二字。 (~面皮<ATT>n:字 c:所以+ns:东洲+nz:众仙门+d:才+v:会+r:如此+v:在乎+n:面皮+m:二+n:字)
// 《我师兄实在太稳健了》	不要面皮的吗？ (~面皮<VOB>d:不要 d:不要+n:面皮+u:的+u:吗+wp:？)	贫道可是不要面皮的吗？ (~面皮<VOB>d:不要 n:贫道+d:可是+d:不要+n:面皮+u:的+u:吗+wp:？)
// 《我师兄实在太稳健了》	只是碍于……碍于面皮…… (~礙於面皮<COO>v:碍于 ~礙於面皮<role.type:ARGM-ADV>只是 d:只是+v:碍于+wp:……+v:碍于面皮+wp:……)
// 《我师兄实在太稳健了》	你且听听我的跟脚，看是否有这个面皮， (~面皮<VOB>v:有 r:你+d:且+v:听听+r:我+u:的+n:跟脚+wp:，+v:看+v:是否+v:有+r:这个+n:面皮+wp:，)
// 《我师兄实在太稳健了》	这种事也是可以拿来玩闹的？面皮啊！ (r:这种+n:事+d:也+v:是+v:可以+v:拿+v:来+v:玩闹+u:的+wp:？+n:面皮+u:啊+wp:！)
// 《我不可能是剑神》	面皮白净，凤眼狭长， (~面皮<SBV>a:白净 n:面皮+a:白净+wp:，+n:凤眼+a:狭长+wp:，)
// 《我师兄实在太稳健了》	我赵公明的面皮微薄，你不给我赵公明面皮也就罢了。 (~面皮<SBV>a:微薄 r:我+nh:赵公明+u:的+n:面皮+a:微薄+wp:，+r:你+d:不+v:给+r:我+nh:赵公明+n:面皮+d:也+d:就+u:罢了+wp:。)
// 《我不可能是剑神》	周大福被他的视线扫得面皮发烫， (~面皮<SBV>v:发 nh:周大福+p:被+r:他+u:的+n:视线+v:扫+u:得+n:面皮+v:发+v:烫+wp:，)
// 《我师兄实在太稳健了》	因阵法、面皮之事，双方已有些较上劲。 (~面皮<COO>n:阵法 p:因+n:阵法+wp:、+n:面皮+u:之+n:事+wp:，+n:双方+d:已+v:有些+v:较上劲)
// 《我师兄实在太稳健了》	这面皮索性不要也罢。 (~面皮<FOB>v:要 r:这+n:面皮+d:索性+d:不+v:要+u:也罢+wp:。)
// 《我师兄实在太稳健了》	天庭此时再穷，面皮也是要的， (~面皮<SBV>v:是 n:天庭+nt:此时+d:再+a:穷+wp:，+n:面皮+d:也+v:是+v:要+u:的+wp:，)
// 《我师兄实在太稳健了》	落人教面皮 (v:落+n:人+v:教+n:面皮)
// 《我师兄实在太稳健了》	将因果引到道门三圣面皮上， (~面皮<ATT>nd:上 p:将+n:因果+v:引+v:到+n:道门+m:三+n:圣+n:面皮+nd:上+wp:，)
// 解析錯誤 @ 《我师兄实在太稳健了》	更是事关他元泽老道的面皮！ (~面皮<VOB>v:关 d:更+v:是+n:事+v:关+r:他+a:元泽+a:老道+u:的+n:面皮)
// 《我师兄实在太稳健了》	天庭的面皮还是必须要注意的。 (~面皮<SBV>d:还是 n:天庭+u:的+n:面皮+d:还是+d:必须+v:要+v:注意+u:的)
// 《我师兄实在太稳健了》	可否看在我阐教的面皮上， (~面皮<ATT>nd:上 v:可否+v:看+p:在+r:我+n:阐教+u:的+n:面皮+nd:上+wp:，)
// 解析錯誤 @ 《我师兄实在太稳健了》	那师兄的面皮也是要争一下。 (~面皮<FOB>v:争 r:那+n:师兄+u:的+n:面皮+d:也+v:是+v:要+v:争+m:一下)
// 《我师兄实在太稳健了》	还想让天庭看在道友你的面皮上退兵。 (~面皮<ATT>nd:上 d:还+v:想+v:让+n:天庭+v:看+p:在+n:道友+r:你+u:的+n:面皮+nd:上+v:退兵+wp:。)
// 《我师兄实在太稳健了》	将自己清秀的面皮，送到这个度仙门此行最弱弟子的拳锋之下！ (~面皮<POB>p:将 ~面皮<←ATT>r:自己 ~面皮<←ATT>a:清秀 p:将+r:自己+a:清秀+u:的+n:面皮)
// 《我师兄实在太稳健了》	要争的是面皮、 (~面皮<VOB>v:是 v:要+v:争+u:的+v:是+n:面皮)
// 《我师兄实在太稳健了》	这份面皮自然也是有的。 (~面皮<SBV>v:是 r:这+q:份+n:面皮+d:自然+d:也+v:是+v:有+u:的+wp:。)
// 《我师兄实在太稳健了》	龙族如今的面皮， (~面皮<←ATT>nz:龙族 nz:龙族+nt:如今+u:的+n:面皮)
面皮	面皮
// [繁化姬]	你别打我的拉面皮 (r:你+d:别+v:打+r:我+u:的+n:拉面皮)
拉面皮	拉面皮
// 《烂柯棋缘》	枯骨般的面部扯了扯面皮笑了下。 (~面皮<VOB>v:扯 n:枯骨+u:般+u:的+n:面部+v:扯+u:了+v:扯+n:面皮+v:笑+u:了+nd:下+wp:。)
扯面皮	扯面皮
// 《大奉打更人》	但已经不需要去扯面巾了， (~面巾<VOB>v:扯 c:但+d:已经+d:不+v:需要+v:去+v:扯+n:面巾+u:了+wp:，)
扯面巾	扯面巾
// [general.TW.txt]	《苍青之剑》原本沸腾的液面也古怪地平静下来。 (~液面<SBV>a:平静 d:原本+v:沸腾+u:的+n:液面+d:也+a:古怪+u:地+a:平静+v:下来+wp:。)
液面	液面
// 《我师兄实在太稳健了》	他们本就不在意面皮二字。 (~面皮<ATT>n:字 r:他们+d:本+d:就+d:不+v:在意+n:面皮+m:二+n:字+wp:。)
在意面皮	在意面皮


// 《烂柯棋缘》	花龙团子糕？ (n:花龙+n:团子糕+wp:？)
龙团子	龍糰子

// 《烂柯棋缘》	拐道去了隔壁面铺， (v:去+u:了+n:隔壁+n:面铺)
面铺	麵鋪
// [general.TW.txt]	适时加一些水粉以方便面团成型。 (c:以+v:方便+n:面团+v:成型)
面团	麵團
// 《我不可能是剑神》	面料的火候不到， (~麵料<ATT>n:火候 n:面料+u:的+n:火候+d:不+v:到+wp:，)
面料	麵料
// 《从红月开始》	面很不错，你也是个很不错的年青人。 (~麵<SBV>a:不错 n:面+d:很+a:不错+wp:，+r:你+d:也+v:是+q:个+d:很+a:不错+u:的+n:年青人+wp:。)
面很不错	麵很不錯
// 《大奉打更人》	他们穿的衣服颇为不错，面料上乘， (~面料<SBV>z:上乘 r:他们+v:穿+u:的+n:衣服+d:颇为+a:不错+wp:，+n:面料+z:上乘+wp:，)
面料上乘	面料上乘
// 《大奉打更人》	便从中年男人的面料昂贵，做工考究的服饰， (~面料<SBV>a:昂贵 d:便+p:从+nt:中年+n:男人+u:的+n:面料+a:昂贵+wp:，+n:做工+a:考究+u:的+n:服饰+wp:，)
面料昂贵	面料昂貴
// 《从红月开始》	由一些看不出材质的黑色面料裁成，但是面料很轻， (~面料<SBV>a:轻 p:由+m:一些+v:看+d:不+v:出+n:材质+u:的+n:黑色+n:面料+v:裁+v:成+wp:，+c:但是+n:面料+d:很+a:轻+wp:，)
面料裁成	面料裁成
// 《亏成首富从游戏开始》	采用的都是最优质的面料，尤其是我们国内出产的优质面料， (~面料<VOB>v:是 v:采用+u:的+d:都+v:是+d:最+b:优质+u:的+n:面料+wp:，+d:尤其+v:是+r:我们+nl:国内+v:出产+u:的+b:优质+n:面料+wp:，)
优质面料	優質面料
优质的面料	優質的面料
// 《神国之上》	其下是山茶花般层叠的裙摆，柔软的面料交错着铺开， (~面料<SBV>v:铺开 r:其下+v:是+n:山茶花+u:般+v:层叠+u:的+n:裙摆+wp:，+a:柔软+u:的+n:面料+v:交错+u:着+v:铺开+wp:，)
柔软的面料	柔軟的面料
// 《大奉打更人》	穿的衣衫面料却比普通富家小姐还好。 (~面料<SBV>a:好 v:穿+u:的+n:衣衫+n:面料+d:却+p:比+a:普通+a:富家+n:小姐+d:还+a:好+wp:。)
衣衫面料	衣衫面料
// 《宋朝游历指南》	衣的面料。 (n:衣+u:的+n:面料+wp:。)
衣的面料	衣的面料
// 《从红月开始》	衣服的面料都已经被熏黑， (~面料<FOB>v:熏 n:衣服+u:的+n:面料+d:都+d:已经+p:被+v:熏+a:黑+wp:，)
衣服的面料	衣服的面料
// 《宋朝游历指南》	是用来制作服饰的主要面料。 (~面料<VOB>v:是 v:是+v:用+v:来+v:制作+n:服饰+u:的+b:主要+n:面料+wp:。)
服饰的主要面料	服飾的主要面料
// 《烂柯棋缘》	我就在这继续开面摊了。 (~麵攤<VOB>v:开 r:我+d:就+p:在+r:这+v:继续+v:开+n:面摊+u:了+wp:。)
// 《烂柯棋缘》	三人付了面钱离开面摊， (~麵攤<VOB>v:离开 m:三+n:人+v:付+u:了+n:面钱+v:离开+n:面摊+wp:，)
开面摊	開麵攤
// 解析錯誤 @ 《从红月开始》	面分好了， (~麵<FOB>v:分 n:面+v:分+a:好+u:了+wp:，) (~麵分<SBV>a:好 n:面分+a:好+u:了+wp:，)
面分好	麵分好
// 《大奉打更人》	许七安吸一口面， (~麵<VOB>v:吸 nh:许七安+v:吸+m:一+q:口+n:面+wp:，)
// 《一品修仙》	当他咽下最后一口面， (~麵<VOB>v:咽 p:当+r:他+v:咽+v:下+nd:最后+m:一+q:口+n:面+wp:，)
一口面	一口麵
// 《从红月开始》	床头上的老太太手里捧着面， (~麵<VOB>v:捧 n:床头+nd:上+u:的+n:老太太+nl:手里+v:捧+u:着+n:面+wp:，)
手里捧着面	手裡捧著麵
// 《生活系游戏》	看着正在大口吃面的老夏。 (~吃麵<ATT>nh:老夏 ~吃麵<role.type:ARGM-ADV>正在 ~吃麵<role.type:ARGM-ADV>大口 ~吃麵<role.type:A0>老夏 v:看+u:着+d:正在+d:大口+v:吃面+u:的+nh:老夏+wp:。)
口吃面	口吃麵

// ** 各種麵食相關
肉面	肉麵
// 解析錯誤 @ 《我在幕后调教大佬》	羊肉面， (~肉麵<←ATT>n:羊 n:羊+n:肉面) (n:羊肉面)
羊肉面	羊肉麵
// [general.TW.txt]	麦子磨成面。 (~麵<VOB>v:成~麵<parent.relate:CONT>v:磨 n:麦子+v:磨+v:成+n:面)
磨成面	磨成麵
// 《玩家超正义》	就像是用留下的老面去醒面的感觉一样。 (~麵<POB>p:用 d:就+v:像+v:是+p:用+v:留下+u:的+a:老+n:面+v:去+v:醒+n:面+u:的+n:感觉+u:一样+wp:。)
的老面	的老麵
// 《玩家超正义》	就像是用留下的老面去醒面的感觉一样。 (~麵<VOB>v:醒 d:就+v:像+v:是+p:用+v:留下+u:的+a:老+n:面+v:去+v:醒+n:面+u:的+n:感觉+u:一样+wp:。)
去醒面	去醒麵
// 饧面是指将面刚和好(死面状态)，但不是马上就用。
// 《一品修仙》	和面揉面饧面，煮面切葱花放辣子面， (~餳麵<COO>v:和面 v:和面+v:揉+n:面+v:饧面) (p:和+n:面+v:揉+n:面+v:饧+n:面+wp:，+v:煮+n:面+v:切+n:葱花+v:放+n:辣子+n:面+wp:，) (v:煮+n:面+v:切+n:葱花+v:放+n:辣子面)
饧面	餳麵
// 《从红月开始》	臭豆腐怎么可以焖面？ (~麵<VOB>v:焖 n:臭豆腐+r:怎么+v:可以+v:焖+n:面+wp:？)
焖面	燜麵
// 《我在幕后调教大佬》	(v:是+n:臊子面+wp:，)
臊子面	臊子麵
// 《烂柯棋缘》	面条！太好了，娘的油头面哈哈哈！ (n:娘+u:的+n:油头面)
油头面	油頭麵
// 解析錯誤 @ 《一品修仙》	吃了顿油泼面， (v:吃+u:了+q:顿+n:油+v:泼面) (v:吃+u:了+q:顿+n:油+v:泼+n:面)	却也化解不掉油泼面的执念了， (a:油泼+n:面)	油泼面都跟这座血湖扯不上一点关系。 (n:油泼面) (n:油泼+n:面)
油泼面	油潑麵
// 《一品修仙》	面是偏粗的棍棍面， (n:面+v:是+a:偏+a:粗+u:的+n:棍棍面) (n:面+v:是+d:偏+a:粗+u:的+n:棍棍面) (n:面+v:是+a:偏+a:粗+u:的+n:棍+n:棍+n:面)
棍棍面	棍棍麵
// 《一品修仙》	和面揉面饧面，煮面切葱花放辣子面， (p:和+n:面+v:揉+n:面+v:饧+n:面+wp:，+v:煮+n:面+v:切+n:葱花+v:放+n:辣子+n:面+wp:，) (v:煮+n:面+v:切+n:葱花+v:放+n:辣子面)
辣子面	辣子麵
// 《超神机械师》	(n:干脆面) (v:干+a:脆面+u:的+n:内容+n:方便面+u:的+n:价格+wp:，)
干脆面	乾脆麵
// 解析錯誤 @ 《亏成首富从游戏开始》	舀了一勺杂粮面糊倒在煎饼铛上， (~麵<ADV>v:糊 m:一+q:勺+n:杂粮+v:面+v:糊+v:倒+p:在+n:煎饼铛+nd:上) (~雜糧麵<VOB>v:舀 m:一+q:勺+n:杂粮面+v:糊+v:倒+p:在+n:煎饼铛+nd:上)
杂粮面	雜糧麵
// 《烂柯棋缘》	一碗杂碎面。 (~麵<←ATT>a:杂 ~麵<←ATT>a:碎 m:一+q:碗+a:杂+a:碎+n:面) (~雜碎麵<←ATT>q:碗 m:一+q:碗+n:杂碎面)	这杂碎面分量难免会...... (r:这+a:杂+a:碎+n:面+n:分量+v:难免+v:会)
杂碎面	雜碎麵
// 《亏成首富从游戏开始》	«其他專有名詞»	烤冷面 (r:我+k:们+v:会+v:开展+v:跑+n:车+v:送+v:烤+a:冷+n:面+wp:、)	(p:跟+r:其他+u:的+v:烤+n:冷+v:面+v:对比+wp:，)
烤冷面	烤冷麵
// 《我的一天有48小时》	他都会给我做自创的庆功面。 (n:庆功面) (r:自+v:创+u:的+v:庆功面)
庆功面	慶功麵
// 解析錯誤 @ 《神国之上》	我带你去吃豆腐面和春卷， (~豆腐麵<VOB>v:吃 v:吃+n:豆腐面+c:和+n:春卷)	小小姐带我吃豆腐面和春卷。 (~豆腐麵<VOB>v:吃 v:吃+n:豆腐面+c:和+n:春卷)
豆腐面	豆腐麵
// 《从红月开始》	陆辛一边慢慢的用筷子挑着面前的青菜面， (~青菜麵<VOB>v:挑 nh:陆辛+d:一边+d:慢慢的+p:用+n:筷子+v:挑+u:着+nl:面前+u:的+n:青菜面+wp:，)
